target_set,shape_id,readable_shape,step,classification,accuracy,majority_vote
1,0,1111-1111-1001,123,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,124,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,125,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,126,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,127,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,128,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,129,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,130,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,131,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,132,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,133,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,134,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,135,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,1.0,0
1,0,1111-1111-1001,136,0;0;0-3;0;2-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0.9,0
1,0,1111-1111-1001,137,0;0;0-3;0;2-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0.9,0
1,0,1111-1111-1001,138,0;0;0-3;0;2-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0.9,0
1,0,1111-1111-1001,139,0;0;0-3;0;2-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0.9,0
1,0,1111-1111-1001,140,0;0;0-3;0;2-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0.9,0
1,0,1111-1111-1001,141,0;0;0-3;0;2-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0.9,0
1,0,1111-1111-1001,142,0;0;0-3;0;2-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0.9,0
1,0,1111-1111-1001,143,0;0;0-3;0;2-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0.9,0
1,0,1111-1111-1001,144,0;0;0-3;0;2-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0.9,0
1,0,1111-1111-1001,145,0;0;0-3;0;2-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0.9,0
1,0,1111-1111-1001,146,0;0;0-3;0;2-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0.9,0
1,0,1111-1111-1001,147,0;0;0-3;0;2-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0.9,0
1,0,1111-1111-1001,148,0;0;0-3;0;2-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0.9,0
1,0,1111-1111-1001,149,0;0;0-3;0;2-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0.9,0
1,0,1111-1111-1001,150,0;0;0-3;0;2-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0.9,0
1,1,11111-11111,0,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;2-1;1;2-2;1;2-3;1;2-4;1;2,0.5,1
1,1,11111-11111,1,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;2-1;1;2-2;1;1-3;1;1-4;1;1,0.8,1
1,1,11111-11111,2,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1.0,1
1,1,11111-11111,3,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1.0,1
1,1,11111-11111,4,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1.0,1
1,1,11111-11111,5,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1.0,1
1,1,11111-11111,6,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1.0,1
1,1,11111-11111,7,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1.0,1
1,1,11111-11111,8,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1.0,1
1,1,11111-11111,9,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1.0,1
1,1,11111-11111,10,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1.0,1
1,1,11111-11111,11,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1.0,1
1,1,11111-11111,12,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1.0,1
1,1,11111-11111,13,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1.0,1
1,1,11111-11111,14,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1.0,1
1,1,11111-11111,15,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1.0,1
1,1,11111-11111,16,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1.0,1
1,1,11111-11111,17,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1.0,1
1,1,11111-11111,18,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1.0,1
1,1,11111-11111,19,0;0;1-1;0;1-2;0;1-3;0;1-4;0;1-0;1;1-1;1;1-2;1;1-3;1;1-4;1;1,1.0,1
